Period, 2019-07-01, 2019-07-29, 2019-09-02, 2019-09-30, 2019-10-28, 2019-12-02, 2019-12-30, 2020-02-03, 2020-03-02, 2020-03-30, 2020-04-27, 2020-06-01, 2020-06-29, 2020-08-03, 2020-08-31, 2020-09-28
A1, 205.43, 199.52, 182.53, 182.63, 186.87, 186.25, 188.88, 198.45, 196.19, 170.72, 149.17, 145.71, 148.89, 144.98, 135.63, 155.12
A2, 189.52, 187.6, 168.65, 169.43, 170.05, 170.03, 171.08, 174.57, 174.71, 169.1, 158, 152.51, 153.76, 153.99, 150.99, 150.58
