21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.82,42.35,107.64
49.44,42.35,42.35,42.35,42.35,48.23,58.84,42.35,47.06,42.35,42.35,42.35
111.73,60.37,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,45.62,43.68,51.9,42.35,42.35,42.35
239.47,236.64,513.89,208.73,235.59,249.56,261.63,249.4,233.1,166.55,170.47,112.89
84.29,82.65,42.35,42.35,42.35,42.35,44.84,61.55,73.7,130.61,124.65,205.74
42.35,42.35,42.35,42.35,42.35,65.49,96.26,74.32,90.4,54.36,42.35,42.35
71.55,84.98,138.67,159.89,235.82,247.99,236.56,274.18,263.85,249.51,221.15,244.85
113.84,91.09,42.35,42.35,42.35,67.63,49.75,85.61,92.62,81.5,94.49,89.76
42.35,42.35,42.35,42.35,42.35,49.14,64.87,75.12,49.83,48.68,42.35,42.35
123.34,78.56,87.4,42.35,42.35,62.75,61.97,84.3,131.64,49.16,48.26,42.35
127.37,129.32,78.4,97.4,142.34,173.29,236.53,257.74,236.58,236.56,168.79,172.61
52.71,42.35,42.35,42.35,42.35,42.35,76.32,99.31,78.32,67.42,42.35,101.98
81.22,42.35,94.76,42.35,42.35,77.71,93.03,119.19,94.6,76.35,69.49,54.38
42.35,42.35,42.35,42.35,42.35,63.01,51.72,74.69,42.35,42.35,56.15,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,65.29,42.35,59.47,42.35,51.94,42.35,42.35
42.35,42.35,103.7,100.06,99.4,98.69,153.85,169.96,115.81,132.26,163.35,156.14
42.35,76.37,110.77,42.35,42.35,42.35,42.35,46.88,42.35,47.53,50.3,83.05
46.72,128.38,57.33,42.35,84.5,80.97,44.81,68.27,42.35,42.35,42.35,42.35
89.41,130.21,115.32,88,110.13,101.39,96.87,89.88,70.92,67.37,79.54,53.06
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
107.04,70.34,82.93,42.35,70.38,79.18,100.47,109.6,74.93,46.35,97.44,119.96
300.08,288.34,148.41,204.3,136.7,107.15,123.62,112.22,107.02,84.27,130.73,120.83
265.58,319.57,379.66,361.02,513.89,238.14,513.89,513.89,513.89,513.89,513.89,513.89
115.73,111.36,127.1,133.44,140.26,162.46,199.11,219.89,246.79,59.53,75.88,119.22
236.56,236.56,185.64,206.07,196,247.92,236.56,235.52,233.29,278.98,352.19,365.14
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,90.13,105.66,118.6,144.17,115.98,182.92,163.06
42.35,42.35,42.35,42.35,71.21,116.61,118.62,88.92,99.1,106.18,126.88,144.36
42.35,42.35,42.35,42.35,42.35,67.62,88.74,109.4,74.88,77.67,102.76,47.94
95.02,174.21,186.05,69.27,106.43,102.9,118.19,107.52,131.62,172.71,202.6,236.56
59.74,79.14,42.35,42.35,42.35,42.35,46.82,42.35,47.69,58.77,52.05,42.35
42.35,42.35,42.35,42.35,42.35,42.35,45.21,56.47,50.03,81.35,133.08,70.67
42.35,42.35,42.35,93.95,123.1,129.25,175.06,165.94,152.33,211.48,167.74,224.92
42.35,42.35,42.35,42.35,42.35,61.23,66.63,81.6,89.54,130.6,89.55,115.69
88.66,121.85,61.13,126.39,110.21,127.51,119.11,135.58,129.18,233.61,165.73,223.24
42.35,42.35,42.35,42.35,65.46,80.05,99.34,121.38,101.17,148.44,168.79,216.65
42.35,42.35,42.35,42.35,42.35,75.82,83.27,118.98,109.56,43.8,50.3,42.35
193.45,45.47,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,88.74,100.48,123.51,100.35,71.62,112.3,163.06
42.35,42.35,42.35,42.35,42.35,42.35,42.35,50.33,42.35,42.35,54.98,81.15
42.35,42.35,42.35,42.35,42.35,49.88,48.1,73.56,72.47,91.42,126.78,85.97
