20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec
513.89,513.89,513.89,127.62,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89
126.25,141.41,204,228.12,155.43,162.4,142.22,157.71,97.38,57.67,42.35,42.35
42.35,42.35,42.35,42.35,42.35,84.53,46.95,51.16,42.35,42.35,42.35,42.35
214.01,194.12,173.7,201.14,223.65,257.11,344.36,240.88,356.8,489.85,332.63,382.82
107.31,145.2,82.31,42.35,53.54,42.35,42.35,42.35,42.35,42.35,42.35,42.35
52.31,68.1,105.52,100.14,173.1,187.01,145.46,149.44,153.51,110.23,171.38,238.6
83.16,144.61,194.55,155.78,198.34,169.31,172.79,154.29,152.87,218.28,279.1,226.64
156.1,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,52.49,50.41,50.78,48.12,42.35,72.64,50.16
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
83.53,95.96,115.48,156.91,80.44,112.07,108.01,90.52,93.73,119.61,89.55,142.23
177.46,238.1,224.82,332.04,109.72,137.86,129.94,411.5,254.97,127.54,135.86,151.23
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
264.22,205.74,164.29,182.53,120.15,129.2,179.77,151.16,137.54,101.82,107.26,53.88
513.89,513.89,513.89,513.89,513.89,259.1,510.38,314.49,299.48,116.8,102.63,100.52
513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,493.84,513.89,279.64,277.77
513.89,362.37,206.47,105.07,80.45,134.34,254.97,338.23,188.14,210.13,144.18,140.49
249.95,143.89,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
162.64,139.03,70.6,115.76,82.65,84.41,76.3,96.98,74.78,53.51,60.09,42.35
281.56,370.3,346.38,229.32,269.87,137.55,128.91,131.53,231.92,119.93,120.78,157.57
159.33,206.11,229.5,246.14,277.62,216.88,186.4,157.75,131.58,122.13,105.49,94.59
188.14,58.39,58.03,105.3,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
174.45,153.05,243.91,201.12,187.62,193.35,184.87,239.99,167.93,165.95,119.3,70.96
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,68.64,42.35,42.35,47.88,53.03,54.89,52.84,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
171.54,151.05,53.1,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
236.23,341.85,202.13,112.8,206.31,149.35,235.18,192.36,254.97,204.3,513.89,201.84
51.36,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
513.89,513.89,218.65,153.9,133.27,98.82,46.73,53.52,42.35,48.95,46.5,47.37
139.2,42.35,85.93,42.35,42.35,42.35,50.67,42.35,43.82,42.35,42.35,42.35
42.35,42.35,42.35,42.35,82.64,69.61,78.59,65.24,53.62,47.57,42.35,58.69
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
310.06,203.66,202.04,161.25,204.33,171.15,152.77,200.62,174.51,127.33,66.65,43.23
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
49.2,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
442.51,425.37,513.89,513.89,513.89,362.7,513.89,352.38,219.32,254.97,279.1,130.29
42.35,42.35,42.35,42.35,42.35,42.35,76.62,48.8,42.35,42.35,42.35,42.35
112.04,138.35,58.42,54.54,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
88.03,91.23,125.98,152.41,137.6,163.94,117.85,142.29,102.09,47.12,42.35,42.35
42.35,42.35,42.35,42.35,110.72,47.39,74.39,46.76,47.26,42.35,42.35,42.35
56,42.35,42.35,42.35,68.14,92,113.34,146.06,152.98,68.7,106.52,73.12
141.46,174.63,111.15,147.1,182.61,250.58,176.66,186.84,229.09,175.19,182.99,58.85
150.26,64.04,123.81,155.78,166.61,162.4,199.03,208.34,198.93,201.99,279.1,432.68
215.28,42.35,84.07,97.58,107.59,79.25,80.3,106.98,131.09,94.48,42.35,42.35
42.35,42.35,42.35,42.35,52.4,110.3,119.25,117.92,96.97,87.69,57.07,42.35
42.35,69.32,116.08,155.46,176.69,184.03,224.43,151.02,160.08,182.51,216.59,141.86
80.12,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,96.37,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,43.09,42.35,42.35,42.35,42.35
124.21,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
513.89,467.08,151.57,126.18,78.37,42.35,48.76,53.51,42.35,51.57,42.35,42.35
230.09,171.1,180.53,210.35,187.62,193.35,254.9,292.6,262.07,397.71,275.62,215.24
240.03,80.22,62.18,42.35,42.35,42.35,51.96,53.59,42.35,42.35,42.35,42.35
83.07,103.15,109.85,169.03,164.36,144.75,174.82,149.9,129.43,153.82,170.91,108.65
129.43,240.85,185.48,188.15,176.69,165.84,138.95,167.88,150.14,110.92,107.19,42.35
78.67,77.12,58.16,42.35,87.82,78.37,81.71,109.67,62.68,55.99,42.35,42.35
491.88,401.44,229.5,219.79,142.64,212.81,195.12,163.76,187.17,134.57,107.19,108.23
61.06,86.67,98.93,104.83,42.35,129.95,187.35,352.38,177.78,170.97,141.29,147.68
67.05,111.66,200.75,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
