jan-20,fev-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,set-20,out-20,nov-20,dez-20
279.29,235.35,207.16,292.93,227.61,306.06,306.11,359.723806,323.341396,382.94,513.89,360.02
275,143.59,42.35,42.35,42.35,42.35,71.09,72.09,115.610504,121.2,88.55,42.35
71.59,42.35,42.35,42.35,42.35,42.35,46.86,42.35,42.35,42.35,42.35,83.51
93.84,63.23,42.35,42.35,42.35,67.03,67.61,74.77,87.59,84.91216,149.17,176.79
42.35,42.35,42.35,42.35,42.35,61.84,81.18,89.56352,62.48,42.35,42.35,42.35
315.07,212.11,160.54,208.72,145.415161,83.01,69.260072,71.928251,87.315364,83.7,155.460667,139.98
361.71,298.63,283.785846,369.585,220.12,373.91,413.62,425.64,420.97,442.28847,513.89,229.31
144.86606,73.5,42.35,42.35,42.35,42.35,70.37,63.81,45.465364,42.35,42.35,42.35
260.37,293.46,269.9,167.06,126.83,105.88,99.82,105.38,103.03,120.585702,147.44,83.63743
129.75,100.09,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
373.8,454.28,291.89,119.92,165.437862,228.05,237.7,189.053928,217.87,295.65,144.43,160.94
316.3,474.25,144.85,184.06,153.59,114.86,128.62,156.475624,144.08,213.425054,140.44,145.97
143.81,143.64,42.35,42.35,42.35,47.72,42.35,42.35,42.35,42.35,42.35,42.35
151.93,207.15,181.348666,197.41,184.85,196.86,232.27,198.495336,181.15,195.74,144.43,114.449972
198.93,216.69,263.98,138.62,214.860903,213.47,263.69,340.07,239.09,294.43,257.85,135.11
298.16,333.822016,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89
295.9,303.25,388.33,513.89,513.89,350.19,513.89,513.89,513.89,513.89,513.89,513.89
434.95,513.89,513.89,380.43,352.66,399.9,353.16,291.88,223.66,215.6,172.47,160.83
447.63,278.66,391.28,320.61,311.57,308.55,350.72,380.88,356.91,395.29,513.89,211.3
93.99,180.88,264.66,261.61,245.38,297.97,237.105432,235.01,227.11,169.89,211.79,119.86
289.5,404.26,388.33,332.87,181.15,232.27,235.314584,270.69,324.44,333,402.17,144.15
252.69,126.14,200.86,128.1,66.61,235.35,208.63,187.01,176.74,187.14,144.05,42.35
120.11,42.35,42.35,42.35,42.35,96.02,89.65,90.54,130.06,102.22,66.254861,83.63743
185.22,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
97.2,79.68,42.35,70.29,42.35,200.96,202.88347,190.02,217.379178,236.888424,154.81,164.28
147.27,130.091985,86.42,104.8,57.98,54.47,77.21,90.690248,57.95,42.35,52.12,42.35
197.097564,85.325045,65.237342,42.35,42.35,111.840072,122.462434,110.74,88.04,66.29,72.53,83.596132
447.63,320.83,260.55,187.77,274.28,296.53,257.69,311.801296,238.5,294.44,338.79,153.39
130.975246,42.35,42.35,42.35,42.35,77.25,46.86,42.35,48.83837,42.35,42.35,42.35
296.06,262.59,268.87,294.36,317.73,324.03,483.58,513.89,391.49,199.326826,178.28,80.88
180.71,256.51,268.87,160.025,303.82,371.83,262.24491,230.37,285.27,172.73,191.04,160.94
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,51.204718,42.35
56.83,47.29,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
247.85,226.68,260.86,124.44,273.64,254.66,232.27,236.33,253.07,178.62,208.4,216.41
194.97,198.263253,150.55,42.35,42.35,42.35,85.43,90.47,101.82,127.085054,117.31,106.59
140.53,208.242441,181.15,84.76,177.27,146.53,130.69,111.565336,93.07,131.93,103.28,54.93
42.35,42.35,42.35,42.35,42.35,42.35,83.07,93.62,75.209923,42.35,42.35,42.35
152.02,211.97,119.9,153.58,244.03,351.664922,349.94,366.33,394.17,513.89,513.89,513.89
151.07,193.94,144.87,160.97,177.61,99.94,87.13,83.63,87.3767,107.48,113.516386,106.59
100.385094,95.96,51.81,60.29,42.35,112.09,128.1,131.868624,91.94,112.006927,53.18,42.35
214.88,271.38,288.46,294.36,350.43,184.85,161.674614,185.923536,224.34,232.39,200.65,234.04
153.87,158.4,126.37,100.7,104.3,97.251334,87.58,87.775336,62.48,120.64,142.79,42.35
163.33,143.97,42.35,64.39,93.66,109.47,101.76,90.53,87.3767,83.7,86.44,106.59
130.975246,168.87,151.42,69.33,177.4,166.15,160.78,175.9,131.07,167.573954,222.144861,302.24
