jan-20,fev-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,set-20,out-20,nov-20,dez-20
137.08,157.96,165.04,162.54,142.6,202.9,195.69,256.84,249.18,287.18,301.05,449.16
187.86,221.25,254.01,197.95,80.445161,143.61,110.21,121.59,140.930277,145.98,203.6588,215.13
79.37,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
203.86,184.22,143.36,117.15,42.35,88.74,76.39,84.23,89.58,103.21,114.39,146.79
202.29,191.89,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
172.97,175.64,203.79,182.27,153.474051,195.862436,138.91,108.52,81.05,102.58,104.91,103.72
91.76,178.05,216.36,226.63,228.15,231.49,247.79,259.24,218.38,263.4,300.43,207.5
169.25,204.49,139.01,112.91,53.06,99.78,65.293636,61.23,66.78,42.35,42.35,42.35
127.19,169.89,185.51,204.95,155.65,150,105.41,90.3,83.955167,79.75,82.62,93.81
155.22,222.551006,145.59,164.32,98.83,106.7,55.975248,52.72,42.35,42.35,42.35,42.35
311.91,513.89,513.89,294.86,263.81,102.03323,247.79,238.4,236.22,198.905486,247.77,288.81
225.5,297.16,251.875272,286.02,195.59,233.33,230.81,187.74,208.4,272.714818,249.53,388.96
126.49,129.76,114.18,102.97,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
117.86,142.76,138.7,162.01,160.5,156.28,147.77,155.348984,172.084325,159.73,140,130.93
257.56,213.8,143.31,156.62,185.93,161.18,195.67,208.529888,235.029432,258.38,294.232899,306.34
467.48,208.59,210.79,263.02,513.89,513.89,513.89,513.89,513.89,513.89,513.89,345.89
236.47,316.55,297.85,256.84,513.89,513.89,513.89,513.89,513.89,513.89,513.89,302.16
217.56,222.686409,296.11,294.86,318.126976,326.175184,314.61,329.59,325.854625,302.15,135.39,156.535316
182.04,190.85,265.54,230.96,309.94,318.92,334.84,330.19,289.92,322.84,269.25,307
256.84,157.96,113.12,162.83,210.27,212.84,195.68,240.78,176.399058,237.88,228.05,166.69
262.93,352.83,241,229.59,208.94,228.51,330.75,384.43,399.11,513.89,513.89,513.89
200.07,111.24,173.48,106.9,42.35,130.35,167.25,187.58,195.18,110.6,96.46,128.57
143.52,218.47,138.18,42.35,87.51,106.7,134.86,150.3064,139.263674,139.38,205.142072,171.12
109.25,134.36,126.2,42.35,42.35,45.88,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,50.14,67.02,65.079903,72.839504,85.142907,85.3
42.35,42.35,42.35,42.35,42.35,42.35,73.3,86.84064,43.29,49.07,42.35,42.35
151.47,256.84,217.98,42.35,42.35,42.35,201.29,217.99,233.25,206.73,136.8,122.64
301.54,346.44,513.89,182.59,42.35,278.25,361.46,400.51,414.32,513.89,513.89,513.89
80.44,106.07,126.74,42.35,42.35,42.35,52.31,61.19,44.45,42.35,42.35,42.35
145.22,187.81,213.4,183.405,257.739579,251.7,338.23,513.89,513.89,513.89,272.59,130.56
178.47,101.44,106.35,133.84,119.15,95.12,135.43,178.19,130.39,97.52,128.78,48.43
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
169.03,135.74,54.17,57.49,51.98,42.35,42.35,42.35,42.35,42.35,42.35,42.35
432.75,201.54,213.48,188.765,207.05,181.835458,247.79,213.66,225.26,216.36,208.49,132.24
117.71,133.52,159.93,98.71,74.155254,42.35,67.46,46.695104,42.35,43.46,68.61,93.58
79.33,78.55,74.76,100.23,107.47,42.35,102.21,85.04,89.31,44.027214,42.35,42.35
57.235094,95.08,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
144.97,42.35,73.35,102.97,76.47,78.64,124.36,156.044336,150.88,170.362658,206.91,270.940142
91.76,42.35,42.35,42.35,42.35,42.35,48.56,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,51.1,45.99342,57.956674,42.35,42.35
229.7,189.58,167.34,42.35,173.38,137.66,256.06,187.74,164.65668,160.96,219.26,218.69
64.74,74.63,126.28,102.97,90.84,85.73,105.44,113.05,96.76,110.6,84.83,127.99
125.5,122.86,100.15,106.41,88.74,99.15,107,137.790992,123.775384,103.35,85.69,115.48
100.41,71.23,52.97,74.39,55.71,49.76,69.19,62.6,64.22,97.040606,59.03,73.62
138.69,142.76,115.91,146.5,129.88,105.49,123.82,149.33908,124.768193,99.35,126.77,150.42
180.22,134.53,148.17,118.42,102.16,153.57,165.85,187.86,172.583026,83.53,107.12,145.01
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
105.25,152.26,139.01,137.43,180.93,130.52,145.81,199.172248,146.26,152.48,250.248697,210.82
170,147.41,210.79,134.495,139.38,318.800342,343.87,327.58,306.29,211.22,195.4,120.59
99.27,135.39,172.01,181.78,195.65,180.905458,201.27,187.92,146.48,78.3,61.584861,42.35
80.44,76.38,42.35,57.9,42.35,76.8,42.35,59.8,42.35,42.35,42.35,42.35
312.82,229.70367,217.065406,181.66,142.75,170.09,179.89,208.73,193.510845,167.25,219.84,371.31
117.71,157.87,181.25,257.07,256.84,224.65,139.61,153.42,128.99006,92.94,78.47,124.7
180.21,157.414699,165.62,180.34,143.22,167.64,160.41,145.56,144.06,47.54,86.05,94.11
190.71,213.6,257.55,268.84,261.92,323.73,303.56,329.59,332.66,308.61,206.19,170.4
188.87,272.834799,445.56,513.89,310.079347,321.14,256.84,263.75,281.32,263.21,315.62,354.99
165.43,205.22,241.59,256.84,239.71,289.29,274.78,268.25,297.71,175.26,155.23,117.03222
169.53,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,56.41
513.89,198.29,176.16,71.35,70,84.3,42.35,42.35,42.35,57.231772,69,42.35
55.11,77.73,54.33,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
513.89,513.89,513.89,513.89,42.35,42.35,251.084428,256.26,269.9,234.01,222.81,212.72
117.49,77.11,106.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,48.76,61.57
161.64,81.83,42.35,42.35,42.35,42.35,67.11,52.21,43.09,65.32,106.95,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
154.42,143.91,163.58,122.78,42.35,137.75,140.7,140.17,141.5,169.25,50.26,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
334.57,134.01,68.24,42.35,42.35,42.35,76.86,85.49,86.05,128.985054,130.18,106.97
70.36,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,68.03,42.35
263.86,211.69,217.98,197.9,200.066762,201.52,195.67,178.98,238.19,242.04685,227.762494,152.080936
191.33,207.57,213.42,229.87,108.64,153.15,191.68,186.709504,189.419295,199.83,267.13,168.95
53.42,56.17,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
145.66,119.44,54.85,42.35,42.35,46.75,50.522688,42.35,42.35,42.35,42.35,42.35
140.99,169.89,189.65,196.4,172.01,167.15,163.7,211.096408,207.56,169.09,219.26,268.33
172.06,75.4,124.13,62.08,70,42.35,68.64,52.68,70.22,42.35,42.35,42.35
172.01,139.38,157.328924,184.535,140.06,152.18,167.97,157.8,160.68,151.4,134.78,147.59
122,112.68,42.35,42.35,42.35,42.35,42.35,45.62,56.82,42.35,42.35,42.35
136.81,144.39,208.379594,263.02,42.35,113.71,206.85,208.73,216.3,172.97,140,147.59
74,42.35,42.35,83.38,42.35,42.35,42.35,46.94,43.93,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,48.08,49.07,63.627014,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
126.67,145.16,137.95,127.34,136.21,141.19,113.26,119.69,89.11,42.35,42.35,42.35
202.29,209.18,213.515658,190.11,212.27,223.38,276.17,265.5,251.16,164.21,90.19,161.91
79.37,137.61,200.15,60.29,42.35,83.495458,69.59,77.69,74.362595,43.23,42.35,42.35
236.26,220.69,207.18,226.43,233.16,242.06,255.97,330.092336,272.3,266.68443,249.53,314.55
481.98,378.71,332.17,42.35,42.35,162.35,139.38,148.3,160.72,123.18,140,120.59
300.05,348.1,310.677822,297.055,256.276697,323.73,251.9,273.28,243.87,341.546718,301.14,222.72
283.92,223.422362,262.85,120.92,42.35,42.35,110.21,145.4,133.69,170.11,133.97,96.66
170.96,168.28,199.533742,183.66,142.6,172.82,160.29,184.49,156.306346,207.23,153.64,159.95
149.43,129.45,145.45,171.58,181.66,191.69,201.56,245.65,249.62,282.74,292.876568,415.58
96.26,112.68,67.03,80.34,108.44,104.25,75.67,70.23,44.45,76.66,66.92,42.35
137.98,130.96,128.700546,171.12,154.12,92.78,70.584272,53.78,53.08,42.35,42.35,42.35
266.15,109.02,156.9,131.26,134.93,176.24,164,147.5412,124.768193,80.72,82.523471,49.01
225.820098,75.19,42.35,42.35,42.35,42.35,42.35,55.47,42.81,42.35,42.35,42.35
93.07,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
147.48,114.84,62.86,51.52,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
513.89,513.89,192.09,198.87,146.18,147.34,79.099874,66.16,100.3,79.34,80.33,88.94
436.5,391.41,326.6,233.85,154.32,153,157.04,128.01,139.07,58.28,45.47,42.35
129.32,207.57,185.51,184.77,125.83,189.88,195.66,139.13,128.98,112.9,42.35,42.35
70.72,77.11,106.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
344.93,239.43,224.49,169.67,91.96,83.5,105.34,59.06,42.35,55.83,42.35,42.35
128.88,137.9,54.33,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
70.72,119.8,130.55,42.35,42.35,42.35,60.07,42.35,42.35,42.35,42.35,42.35
141,99.72,87.85,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
70.46,112.68,42.35,42.35,42.35,42.35,67.01,60.96,60.76,42.35,42.35,42.35
44.02,107.16,156.99,42.35,42.35,42.35,61.73,61.67,64.795167,88.74,64.44,42.35
98.64,114.84,117.68,110.295,42.35,42.35,110.55,107.8,89.69,62.17,63.77,42.35
513.89,513.89,152.454366,156.25,162.32,193.295458,203.91,207.47,220.902595,263.21,165.19,58.47
143.69,137.29,204.3,103.295,51.98,49.76,75.69843,61.9,42.35,42.35,42.35,42.35
128.88,102.36,117.28,138.25,96.79,137.65,102.21,130.67,103.740511,145.021686,98.64,148.62
165.43,118.01,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
296.58,513.89,513.89,513.89,513.89,256.84,355.171714,329.59,394.61,448.04,483.19,513.89
475.82,513.89,193.62,113.09,128.23,150.65,138.73,154.12,132.01,128.71,114.8,131.43
482.51,212.85,256.84,256.84,236.71,216.36,226.594838,186.709504,171.96,163.91,144.23,160.87
232.13,246.26,513.89,513.89,513.89,513.89,246.18,248.04,230.23,275,247.77,183.99
42.35,42.35,68.91,57.49,71.1,84.31,90.77,97.25,42.35,42.35,42.35,42.35
109.35,135.39,138.99,133.61,153.47,176.91,176.24,157.16,146.48,170,138.27,100.96
56.36,75.19,61.17,42.35,130.4,90.25,76.65,42.35,42.35,42.35,42.35,42.35
168.43,188.39,253.29,274.44,243.34,222.855564,201.927228,178.98,143.49,140.46,121.31,149.89
248.77,123.23,133.64,128.52,129.14,150.46,191.16,92.99468,96.47,112.9,92.4,115.8
141.33,82.319925,144.34,125.58,122.26,110.19,138.73,125.76,97.73,110.6,104.49,112.2
169.99,211.17,273.6,221.095,139.38,234.400258,245.578784,240.72,202.55,133.31,101.3,124.7
136.81,162.956009,156.92,165.02,188.2,198.045458,252.73,240.84,270.504205,263.4,300.43,220.979928
133.92,130.96,73.81,42.35,42.35,55.82,52.14,42.35,42.35,42.35,42.35,42.35
146,146.92,169.21,117.69,165.496368,142.42,146.14,127.36,146.867317,159.99,99.11,93.74
42.35,42.35,42.35,42.35,42.35,114.74,147.61,112.75,139.38,105.735054,140,120.59
467.48,175.01,221.789606,268.8,275.27,315.47,359.31,255.92,192.63,196.82,195.49,236.8
144.97,214.98,152.07,156.31,184.92,141.78,161.97,145.69,165.4,186.55,206.96,172.95
78.293052,42.35,42.35,54.15,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
306.2,513.89,513.89,201.89,400.51,304.471368,377.17405,342.91,365.65,356.6,513.89,513.89
229.7,206.08,213.515658,267.85,263.55,281.24,340.69,150.8,147.26,329.97,363.36,352.53
42.35,77.05,42.35,42.35,93.18,70.97,124.35,82.94,99.66,103.91,68.02,42.35
105.45,42.35,67.96,93.08,42.35,46.47,63.58,42.35,42.35,42.35,42.35,42.35
137.12,65.81,74.76,93.08,74.64,63.92,76.65,42.35,42.35,42.35,42.35,42.35
101.47,135.39,143.36,194.78,190.1661,179.56,195.68,174.33,160.18,102.18,132.82,135.22
42.35,63.79,126.03,209.36,209.160464,239.92,342.37,256.26,273.37,248.8,303.8,200.38
67.11,102.396402,46.873472,42.35,83.4,110.18,134.8,148.63,159.39,164.46186,155.87,127.83
42.35,57.98,126.33,123.2,70.69,131.36,139.38,143.51,87.96,64.96,42.35,42.35
42.35,42.35,42.35,42.35,42.35,139.06,158.24,145.77,167.06,134.35,137.66,94.88
42.35,42.35,42.35,73.35,42.35,106.74,123.82,124.86,151.64,199.74,145.38,62.04
42.35,42.35,42.35,42.35,42.35,106.7,110.21,121.52,139.975167,103.27,85.45,69.93
42.35,42.35,42.35,42.35,42.35,42.35,69.72,77.8,60.76,42.35,59.899293,60.93
76.31,42.35,42.35,42.35,42.35,42.35,75.67,96.615536,123.810414,76.87,84.83,42.35
170.66,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
55.87,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
218.24,140.31,194.42,104.125,102.16,143.56,138.51,148.08,130.502555,122.59,86.05,140.23
168.44,117.87,42.35,42.35,42.35,42.35,43.97,51.07,56.55,60.7,42.35,42.35
68.72,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,49.3,43.85,67.03
